([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.4458726644515991, 2.6628975868225098])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.37583377957344055, 1.084781527519226])
