([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.2742643356323242, 2.0187594890594482])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [-1.3502116203308105, 3.340149402618408])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [0.7666701674461365, 3.106804132461548])
([(['0'], -0.6931471805599453), (['1'], -0.6931471805599453)], [1.2407410144805908, 1.7863620519638062])
